CustomerID,Recency,Frequency,Monetary_Value
12449,21,4,4067.2900000000013
12450,155,2,197.88
12451,10,5,9035.519999999999
12452,16,2,430.57000000000005
12453,133,1,707.0899999999999
12454,55,1,3528.34
12455,72,6,2466.859999999997
12456,43,3,3181.039999999998
12457,65,7,2363.2299999999996
12458,70,2,947.4000000000001
12461,93,2,826.8800000000001
12462,18,2,1189.5900000000001
12463,52,4,1344.7799999999997
12464,9,8,1212.0499999999997
12465,16,2,742.1900000000002
12468,187,2,729.54
12471,1,30,19824.049999999945
12472,31,7,6572.110000000003
12473,28,5,3938.55
12474,16,18,7375.789999999998
12475,53,1,723.38
12476,15,11,6816.420000000005
12477,22,6,13219.73999999999
12478,3,1,680.9900000000002
12479,10,1,527.2
12480,27,4,3281.6300000000015
12481,22,10,5596.320000000002
12483,16,8,2484.980000000001
12484,32,6,4541.720000000001
12488,9,3,1298.6599999999999
12489,335,1,334.92999999999995
12490,4,10,5417.9299999999985
12491,38,1,460.4000000000001
12492,62,2,263.21
12493,165,2,433.74
12494,15,7,1246.1000000000006
12497,81,1,1043.1
12498,20,3,403.7
12500,22,11,4257.820000000001
12501,336,1,2169.3899999999994
12502,95,5,3723.87
12504,17,2,482.04999999999995
12506,232,1,73.50000000000003
12507,133,3,1304.81
12508,25,2,398.27000000000004
12509,283,1,176.5
12510,142,2,982.57
12512,65,2,138.03000000000006
12513,112,1,612.2900000000001
12514,266,1,1017.6800000000002
12515,352,1,383.7
12516,77,2,1312.06
12517,27,5,2502.8399999999983
12518,0,5,2056.8899999999994
12519,63,1,340.84
12520,78,5,2634.26
12521,142,1,599.6800000000001
12522,38,2,192.72000000000003
12523,18,11,1789.7700000000007
12524,8,8,4485.719999999999
12526,0,3,1316.6600000000005
12527,81,3,348.71000000000004
12528,8,6,1933.4800000000007
12530,59,4,1662.2799999999993
12531,14,1,125.22
12532,29,1,349.83
12534,130,1,1089.18
12535,91,2,716.3500000000001
12536,42,3,12601.830000000005
12538,28,1,363.95
12539,21,4,5568.349999999995
12540,19,17,13400.23999999999
12541,29,3,981.1800000000002
12544,35,1,372.7
12545,74,2,1000.3899999999999
12546,46,2,1161.5
12547,197,2,207.8
12548,165,1,95.19999999999999
12550,78,1,964.8299999999994
12551,357,1,168.0
12552,38,2,437.81999999999994
12553,7,10,3692.280000000001
12556,49,2,603.7099999999997
12557,15,5,11990.96
12558,7,1,269.96000000000004
12559,310,2,561.7099999999999
12560,4,3,2134.01
12561,302,1,238.85
12562,7,7,3781.7400000000025
12564,260,1,456.9000000000001
12565,288,1,145.92
12566,85,1,351.65000000000003
12567,22,10,9401.279999999993
12569,1,32,4124.69
12571,39,2,519.6099999999999
12572,8,2,1020.4200000000003
12573,226,1,160.54
12574,315,1,218.45000000000002
12576,35,5,1315.8299999999997
12577,34,3,657.8000000000003
12578,20,2,2794.5099999999993
12579,77,1,440.41999999999996
12580,246,1,415.7
12581,39,1,197.70999999999998
12582,238,2,511.3599999999999
12583,2,15,7281.379999999993
12584,3,9,2338.1499999999996
12585,233,2,2040.099999999999
12586,16,1,196.94
12587,7,1,144.0
12588,38,1,214.9
12589,28,2,646.6800000000001
12590,210,2,9864.260000000004
12591,316,1,452.84999999999985
12592,91,2,437.59999999999997
12593,108,3,418.09999999999997
12594,37,10,3338.2199999999984
12596,50,2,618.27
12597,18,4,3811.2200000000016
12598,9,8,3023.079999999999
12599,28,7,1032.5800000000006
12600,28,10,2599.0400000000004
12601,189,5,577.0600000000001
12602,58,1,153.12000000000003
12603,21,1,739.1999999999999
12604,78,2,254.17999999999995
12607,59,1,1579.51
12609,77,3,1126.8500000000001
12610,22,5,2099.540000000001
12611,51,1,1193.32
12612,73,1,704.0400000000001
12613,56,5,3344.3799999999983
12614,277,1,315.59999999999997
12615,1,4,2291.1900000000005
12616,94,2,713.3
12617,28,1,355.5300000000002
12618,21,1,177.31
12619,15,9,3641.2400000000002
12620,14,3,1339.4099999999999
12621,1,20,13689.67
12622,231,1,180.09999999999997
12623,275,1,305.1
12624,105,2,641.1300000000001
12625,211,2,2683.8199999999997
12626,22,9,6620.479999999998
12627,10,7,4478.53
12628,3,3,786.4599999999998
12630,9,2,1270.8799999999999
12631,56,1,640.5000000000002
12633,58,4,2163.9799999999996
12635,89,2,1689.18
12637,66,8,6021.900000000001
12638,32,1,671.69
12639,238,1,486.1
12640,23,3,1174.58
12641,114,1,185.9
12642,24,3,1013.26
12643,127,6,3344.6400000000003
12644,129,1,477.9100000000001
12645,33,4,1775.1800000000005
12646,4,2,1346.9700000000003
12647,21,12,3722.820000000001
12648,154,1,318.05
12649,106,3,623.5099999999999
12650,2,1,314.44
12651,334,1,114.00000000000003
12652,330,1,919.9799999999998
12653,148,2,2209.8500000000004
12654,10,5,601.98
12656,16,5,4051.170000000002
12657,10,4,1643.18
12658,18,1,686.0500000000001
12659,29,1,91.68
12660,10,1,245.10000000000002
12662,0,11,3849.7799999999984
12664,7,9,4881.879999999999
12665,324,1,63.0
12667,57,1,620.13
12668,11,4,3807.150000000002
12669,150,3,2744.0300000000007
12670,9,5,2996.0500000000006
12672,329,1,225.9
12673,4,2,610.52
12674,38,4,1970.6000000000006
12676,24,6,1331.3900000000006
12678,41,12,17628.460000000003
12679,58,4,1113.0200000000002
12680,0,4,862.81
12681,14,22,13787.54
12682,3,31,12288.219999999998
12683,3,15,8476.569999999998
12684,7,7,2283.6299999999997
12685,27,6,2863.0800000000004
12686,371,1,89.14
12688,113,1,4873.810000000005
12689,25,2,1247.61
12690,205,1,389.00999999999993
12691,27,6,1035.8
12693,126,4,855.9099999999997
12694,69,2,869.6699999999998
12695,6,4,582.1
12697,28,3,957.5899999999999
12700,7,4,4939.990000000006
12701,79,2,797.7099999999999
12702,19,1,219.0
12703,70,1,283.54999999999995
12704,6,8,2340.84
12705,14,9,6868.290000000003
12707,291,1,603.42
12708,29,10,2712.9100000000008
12709,14,15,9736.519999999991
12710,96,3,1149.0200000000007
12712,28,13,4396.129999999999
12713,0,1,848.5499999999998
12714,8,5,4708.859999999994
12715,105,1,353.85999999999996
12716,3,2,1053.4899999999996
12717,150,2,1030.98
12718,70,1,238.25000000000003
12719,4,2,644.9499999999999
12720,2,25,5781.730000000001
12721,31,6,2656.130000000001
12722,84,4,997.6299999999999
12723,3,5,725.0699999999998
12724,4,4,1031.4099999999999
12725,370,1,427.79999999999995
12726,27,7,2609.1000000000004
12727,10,7,3980.7000000000003
12728,70,4,836.3299999999999
12729,113,1,453.0100000000001
12731,23,12,18895.910000000003
12732,179,1,236.2600000000001
12733,233,1,383.95
12734,352,1,110.39999999999999
12735,314,2,779.5699999999998
12736,332,1,234.00000000000003
12738,371,1,155.35
12739,77,2,1013.0400000000001
12740,63,1,427.5999999999999
12743,133,2,546.4299999999997
12744,51,7,21279.289999999994
12747,1,11,4196.010000000001
12748,0,210,33719.730000000316
12749,3,5,4090.880000000001
12750,128,1,275.88
12752,80,1,4366.779999999999
12753,22,6,21429.39
12754,235,3,3010.74
12755,280,2,3811.9499999999994
12756,86,1,112.08000000000001
12757,15,13,7857.099999999999
12758,116,2,2791.590000000001
12759,51,3,1531.4400000000007
12762,7,2,1898.5200000000004
12763,137,2,494.08
12764,316,1,1693.8800000000003
12766,3,7,6989.629999999999
12769,238,1,1143.6000000000001
12770,210,1,1351.4499999999998
12772,59,1,892.4700000000004
12775,16,5,1386.0400000000004
12778,19,6,822.2300000000001
12779,37,8,3981.360000000003
12781,63,2,826.7400000000001
12782,4,5,2330.9200000000014
12783,1,6,2225.91
12784,8,2,574.42
12785,363,1,311.95
12787,9,3,463.65999999999997
12789,64,1,91.85000000000001
12790,191,1,324.9200000000001
12791,373,1,192.60000000000002
12792,256,1,400.54
12793,334,2,545.48
12794,52,2,860.4099999999999
12795,18,1,430.4800000000001
12797,365,1,254.03
12798,9,3,6977.039999999999
12802,186,1,427.5799999999999
12808,36,3,483.65000000000015
12809,177,1,489.31
12811,260,3,514.85
12812,44,1,229.63999999999993
12814,101,1,125.92
12815,147,2,1063.46
12816,95,2,572.2
12817,280,1,166.04
12818,261,1,1542.08
12820,2,4,942.3399999999999
12821,213,1,92.72
12822,70,2,948.8799999999999
12823,74,5,1759.5
12824,59,1,397.11999999999995
12826,2,7,1474.7199999999993
12827,5,3,430.15
12828,2,6,1018.7100000000003
12829,336,2,293.0
12830,37,6,6814.640000000001
12831,261,1,215.05
12832,31,2,383.03000000000003
12833,144,1,417.37999999999994
12834,282,1,312.38
12836,58,4,2612.8599999999988
12837,172,1,134.1
12838,33,2,683.1299999999994
12839,2,14,5591.420000000003
12840,143,4,2726.769999999999
12841,4,25,4022.3499999999967
12842,69,2,1118.99
12843,65,8,1702.26
12844,28,2,325.9599999999999
12845,266,4,354.09000000000003
12847,21,1,871.5399999999998
12849,30,2,1050.8899999999999
12851,96,1,135.17999999999995
12852,294,1,311.54999999999995
12853,134,6,1957.1
12854,78,3,1324.5000000000007
12855,372,1,38.1
12856,7,6,2179.9300000000007
12857,210,2,1106.4000000000003
12863,51,1,521.2
12864,137,1,147.12
12865,25,2,1568.229999999999
12866,282,1,559.1199999999999
12867,25,7,4036.819999999996
12868,185,6,1607.0600000000009
12871,83,2,380.64000000000004
12872,326,2,599.9699999999998
12873,281,1,374.0
12875,142,2,343.2300000000001
12876,57,2,2218.0200000000004
12877,3,12,1535.7700000000007
12878,235,2,854.9899999999999
12879,44,3,573.22
12881,275,1,298.0
12882,8,2,1463.0399999999995
12883,24,4,703.4700000000001
12884,87,1,309.05000000000007
12885,62,3,1175.2199999999996
12886,67,2,1378.4
12888,213,2,354.12
12890,23,1,380.46999999999997
12891,185,3,331.0
12893,30,1,188.14
12895,41,2,372.79999999999995
12897,204,2,216.5
12901,8,28,17654.539999999997
12902,264,1,138.68
12904,17,2,509.57999999999976
12906,11,5,2919.809999999999
12908,175,2,750.0
12909,39,5,2178.67
12910,22,8,3075.0400000000013
12912,2,5,1662.3
12913,4,5,2483.6299999999997
12915,148,2,363.65
12916,138,4,3006.1500000000005
12917,127,1,594.0
12919,7,6,1335.1899999999998
12920,16,1,164.23000000000002
12921,8,37,16587.09000000002
12922,160,1,405.38
12923,63,1,176.97
12924,87,4,933.7000000000003
12925,4,2,694.0499999999998
12928,34,5,2062.6999999999994
12929,311,1,117.85000000000001
12930,77,2,415.8
12931,21,15,42055.95999999999
12933,23,3,607.5299999999999
12935,1,7,2160.6999999999994
12936,16,4,1063.9000000000005
12937,14,4,1504.2700000000004
12938,25,1,114.14
12939,63,8,11581.8
12940,54,2,913.5400000000001
12942,130,3,683.9000000000001
12944,35,2,604.51
12945,287,1,462.95000000000005
12947,143,6,1603.9900000000002
12948,15,7,2064.95
12949,30,8,4167.220000000001
12950,1,3,1843.0
12951,8,6,1064.0700000000004
12952,5,4,1387.7900000000004
12953,9,1,329.84999999999997
12955,0,11,4757.159999999999
12956,305,1,108.07
12957,9,8,4017.5400000000027
12962,6,2,266.39000000000004
12963,7,8,1856.6299999999997
12965,88,1,771.9099999999996
12966,9,1,160.18
12967,357,2,1660.9
12968,111,1,135.95
12970,6,4,452.23999999999995
12971,3,86,11189.909999999996
12974,197,1,144.8
12976,211,1,738.6
12977,155,1,39.24
12980,157,9,7374.900000000001
12981,29,2,372.21999999999997
12982,242,1,390.53999999999996
12984,18,1,97.5
12985,0,2,1239.38
12987,73,2,558.7
12988,291,1,535.32
12989,2,15,6924.109999999996
12990,30,3,409.50000000000006
12991,22,2,503.76
12993,22,4,414.75999999999993
12994,3,3,974.42
12995,84,1,211.32
12997,21,4,1226.89
12999,195,3,455.8799999999999
13000,106,3,534.8500000000001
13001,3,13,9818.820000000012
13002,317,1,120.94999999999999
13003,105,3,149.05
13004,11,18,5655.91
13005,173,2,513.7
13006,55,1,81.57
13008,322,1,229.47000000000003
13011,371,1,50.550000000000004
13012,8,8,1661.8400000000008
13013,0,13,4810.9400000000005
13014,10,10,3466.2799999999997
13015,52,5,3346.2800000000016
13016,72,3,789.8899999999996
13017,6,1,204.0
13018,15,28,7277.699999999997
13021,3,9,2616.38
13023,63,2,689.9000000000001
13026,0,5,975.3599999999998
13027,113,6,6912.0
13028,22,2,661.32
13029,30,3,1247.5
13030,10,2,799.4800000000001
13032,51,2,1010.1799999999997
13033,356,1,190.54999999999998
13034,54,2,642.77
13035,73,2,921.8800000000002
13037,137,3,881.07
13038,79,3,908.46
13040,8,2,676.9900000000001
13043,272,1,516.4200000000001
13044,290,1,560.4700000000001
13045,98,1,305.28
13046,30,2,629.31
13047,31,10,3237.540000000001
13048,13,4,1835.9099999999994
13049,63,2,656.6800000000002
13050,14,17,5836.86
13052,211,1,348.15000000000003
13055,77,3,1214.41
13058,24,3,271.4
13059,249,1,183.4
13060,253,1,307.53000000000003
13061,71,1,248.61
13062,190,1,346.98
13064,12,4,1119.4900000000005
13065,372,1,205.85999999999999
13066,23,2,470.80000000000007
13067,81,1,115.46000000000002
13068,9,2,344.0
13069,0,24,4436.119999999994
13070,191,1,228.8
13072,266,1,177.14999999999998
13075,129,1,919.61
13077,0,4,729.2700000000001
13078,2,26,12627.94
13079,3,5,220.09999999999997
13080,178,1,58.08
13081,11,11,28337.38000000005
13082,125,9,3613.6300000000006
13083,3,2,303.75
13085,157,2,416.08000000000004
13089,2,97,58825.83000000013
13090,8,14,8910.82
13091,27,1,345.82
13092,70,5,477.83
13093,275,8,7832.469999999998
13094,20,12,1927.3200000000002
13095,70,1,74.4
13097,32,10,6010.419999999994
13098,0,28,28882.440000000013
13099,98,1,207.35999999999999
13101,233,1,101.18999999999998
13102,0,24,6424.090000000001
13103,39,1,243.94
13104,2,6,1098.48
13106,132,1,76.5
13107,43,4,1531.6200000000003
13108,372,1,350.05999999999995
13109,59,2,786.5400000000001
13110,30,7,1488.6700000000012
13113,0,24,12245.960000000003
13115,11,4,2294.7800000000007
13116,137,1,501.14000000000004
13117,21,8,984.9099999999996
13118,19,5,1197.8099999999995
13120,238,1,30.599999999999998
13121,268,1,283.7299999999999
13122,93,2,922.3900000000002
13124,89,3,3866.3299999999977
13126,4,8,2099.6399999999994
13127,77,1,259.16999999999996
13130,93,1,64.0
13131,22,3,1073.2999999999997
13132,261,1,77.3
13133,273,2,109.80000000000001
13134,85,4,1793.58
13135,196,1,3096.0
13136,55,5,2607.6099999999997
13137,10,8,3650.409999999999
13138,21,6,962.3900000000001
13139,15,7,5064.940000000003
13140,107,3,423.71999999999997
13141,84,5,2388.7499999999995
13142,18,1,307.0899999999999
13144,332,1,110.94999999999999
13145,39,4,618.52
13146,25,1,228.91
13147,9,4,712.8000000000001
13148,28,12,3707.120000000001
13149,13,4,1676.0599999999997
13151,295,1,1257.8700000000003
13153,5,1,486.22
13155,32,4,971.76
13157,48,4,1741.2199999999991
13158,94,4,1201.0600000000004
13159,8,4,1437.8500000000006
13160,21,1,91.8
13161,312,1,112.75
13162,121,4,1688.2899999999995
13165,45,2,1021.4799999999999
13166,282,1,417.19999999999993
13167,18,4,791.3300000000002
13168,35,4,1319.19
13169,63,2,712.88
13170,26,1,116.01000000000002
13171,21,3,468.4099999999999
13173,3,2,353.65000000000003
13174,15,3,2817.0300000000007
13176,45,1,492.8400000000001
13177,64,1,282.45
13178,25,11,5725.470000000003
13182,44,1,121.17999999999999
13183,7,9,3957.7800000000016
13184,14,10,1701.2900000000009
13185,267,1,71.4
13186,39,3,1575.8900000000003
13187,336,1,236.01999999999995
13188,10,1,114.60000000000001
13189,18,2,260.68
13192,94,2,911.9400000000002
13193,60,1,117.88000000000001
13194,135,1,60.7
13196,10,4,1797.78
13198,9,6,3401.239999999997
13199,3,38,9817.120000000003
13200,18,4,870.09
13203,9,4,869.4599999999999
13207,14,2,250.26000000000002
13208,58,6,1223.8999999999999
13209,29,8,5891.609999999999
13210,93,1,353.47999999999996
13211,9,3,1197.4199999999998
13212,19,3,788.0799999999998
13213,56,5,1520.5800000000004
13216,267,1,333.74
13217,121,3,533.98
13218,126,1,62.64
13220,77,4,819.29
13221,239,2,847.4100000000001
13223,199,2,163.20000000000002
13224,59,2,2155.9499999999994
13225,2,7,6463.840000000002
13226,272,1,108.21000000000001
13227,201,1,257.7
13228,80,1,358.0
13229,225,1,160.95
13230,3,14,2806.9700000000007
13232,12,7,1357.6000000000015
13233,73,2,605.1200000000001
13235,211,1,1031.0699999999997
13236,24,2,744.8500000000003
13238,16,4,700.7300000000001
13239,261,1,329.56
13240,95,4,663.6500000000001
13242,111,3,270.40000000000003
13243,202,1,600.07
13244,92,1,121.74000000000001
13245,50,1,430.5
13246,17,6,1987.3000000000009
13247,17,4,501.12
13248,124,2,465.6799999999999
13249,91,3,711.41
13253,156,2,1030.3999999999999
13255,8,2,399.51
13256,13,1,0.0
13258,11,3,698.5799999999999
13259,61,1,292.3199999999999
13260,60,1,557.6200000000001
13261,268,2,944.1
13262,262,1,200.29000000000002
13263,0,35,7454.069999999956
13265,52,5,2107.6600000000008
13266,10,12,3834.26
13267,2,19,4521.490000000001
13268,17,11,3214.6899999999996
13269,0,15,5346.23
13270,365,1,590.0
13271,36,1,217.3799999999999
13272,30,2,276.56000000000006
13273,112,1,138.97999999999996
13276,63,2,590.93
13277,15,4,258.4
13278,40,1,542.73
13279,77,1,137.75
13280,121,3,814.8600000000001
13282,17,3,1132.1399999999999
13283,59,2,93.66
13284,330,1,201.19
13285,22,4,2709.1200000000003
13291,155,1,361.10999999999996
13292,38,2,578.9399999999999
13294,189,2,873.7399999999998
13295,359,1,201.2
13296,136,1,87.4
13297,7,4,2089.8500000000004
13298,0,1,360.0
13299,267,1,142.5
13300,168,1,371.89000000000004
13301,103,4,618.0899999999998
13302,154,1,63.75
13304,350,1,300.4199999999999
13305,3,10,2000.8599999999992
13307,119,1,15.0
13308,22,3,1385.51
13309,6,5,1456.7899999999993
13310,27,3,1132.0300000000002
13311,3,2,598.57
13313,21,5,1555.3199999999993
13314,1,3,775.9400000000002
13316,36,4,5977.730000000001
13317,65,6,2273.679999999999
13318,0,3,640.76
13319,4,26,10845.549999999988
13320,77,4,1548.7000000000003
13321,71,2,567.36
13322,16,1,199.48
13323,2,5,787.85
13324,35,10,7121.949999999994
13325,81,1,675.3
13327,38,8,3627.769999999998
13328,315,1,1308.48
13329,31,2,789.0
13330,92,3,1140.9299999999996
13332,13,1,350.9
13334,81,3,3536.819999999998
13336,76,1,795.12
13338,157,1,487.02
13339,200,1,860.1200000000002
13340,44,7,10736.47999999999
13341,260,1,775.8499999999999
13343,177,1,353.43
13344,67,3,2543.720000000002
13345,287,1,389.50000000000006
13347,69,1,341.36
13348,63,1,233.76
13349,10,1,247.31999999999996
13350,15,2,979.1199999999999
13351,65,1,373.94
13352,59,1,397.9800000000001
13354,70,1,743.5300000000003
13355,121,1,674.7
13356,79,1,768.2400000000001
13357,256,1,609.9500000000002
13358,268,1,439.03000000000003
13359,63,1,439.55999999999995
13362,8,4,3090.7399999999984
13363,17,2,992.5000000000002
13364,70,1,134.96
13365,33,2,2225.3700000000013
13366,49,1,56.160000000000004
13368,256,2,623.4
13369,365,1,308.28000000000003
13370,371,1,754.8700000000003
13372,89,1,378.64
13373,60,3,3312.2500000000005
13375,88,1,778.6499999999997
13376,98,3,1019.7600000000003
13379,25,3,572.5599999999997
13381,31,6,3639.3100000000004
13382,280,1,222.99
13384,30,7,4151.929999999999
13385,329,1,534.5700000000002
13388,130,2,677.1000000000001
13389,10,3,797.96
13390,74,1,544.0799999999999
13391,203,1,59.8
13394,1,8,2520.0199999999995
13395,184,1,307.72
13396,28,2,1360.9899999999998
13397,72,5,1544.1299999999997
13398,191,1,457.3400000000001
13402,126,2,621.2300000000002
13403,17,1,75.0
13404,0,2,252.48999999999998
13405,73,3,572.4509999999999
13408,1,62,28117.039999999983
13410,23,5,1003.0600000000001
13411,106,1,213.55000000000004
13414,133,3,1390.5
13416,43,2,712.5000000000001
13417,4,2,640.83
13418,11,18,6127.429999999998
13419,63,1,221.05999999999995
13420,149,2,159.85
13421,39,2,1851.0799999999995
13422,63,1,2626.3000000000006
13425,107,3,1624.2099999999998
13426,0,10,3641.3199999999974
13427,18,3,582.6
13428,9,1,218.46999999999994
13429,10,4,1006.8000000000001
13430,18,2,679.45
13431,66,2,1269.0999999999995
13434,73,2,534.24
13435,4,7,3809.89
13436,1,1,196.88999999999996
13437,13,7,3408.0599999999995
13439,254,1,283.71
13441,91,1,296.64000000000004
13447,22,3,1129.14
13448,16,6,3539.370000000002
13449,23,1,291.88
13450,26,6,2043.7200000000003
13451,25,5,2976.149999999999
13452,258,2,590.0
13453,165,2,356.98
13455,24,2,1058.34
13456,17,6,1766.7199999999998
13458,6,14,9646.570000000002
13460,28,2,183.44
13461,38,3,1445.0000000000002
13462,252,1,151.5
13464,57,1,674.6800000000002
13466,183,1,307.90000000000003
13467,10,2,1083.71
13468,1,37,5704.970000000001
13470,98,2,165.0
13471,0,4,2531.579999999998
13473,60,2,422.64
13474,235,1,229.58999999999997
13475,190,4,1431.7800000000009
13476,178,2,1238.4699999999998
13477,37,6,1454.579999999999
13479,200,2,300.95
13481,45,5,1804.5599999999993
13482,231,1,184.64
13483,65,1,140.34000000000003
13484,240,1,313.79999999999995
13485,232,1,454.24
13486,77,3,1122.4099999999999
13487,57,3,575.4000000000001
13488,16,13,8968.309999999996
13489,104,4,449.52
13491,51,10,1215.82
13492,135,3,1269.8400000000006
13493,274,2,618.63
13494,311,1,316.26
13495,7,5,2044.8699999999997
13496,10,2,653.3299999999999
13497,282,2,348.04999999999995
13499,17,5,1159.11
13500,22,3,1166.7700000000002
13501,287,1,1340.3199999999997
13502,16,3,292.0
13503,70,1,216.84999999999997
13504,63,1,295.93
13505,72,4,4393.629999999999
13506,315,2,458.52000000000004
13507,2,4,2479.159999999999
13508,243,1,110.97
13509,8,7,979.7200000000001
13510,0,4,1791.5599999999984
13512,260,1,251.20999999999998
13513,126,1,205.09999999999997
13514,73,1,152.20000000000002
13515,72,4,891.1200000000002
13516,20,3,1389.4100000000003
13517,59,3,2128.42
13518,85,1,659.4399999999998
13519,77,1,122.75
13520,58,6,3624.349999999999
13521,0,3,1093.6500000000003
13522,29,1,125.80000000000001
13523,32,5,3964.8800000000006
13524,40,5,680.1800000000001
13525,14,2,628.78
13527,33,7,2287.5100000000007
13529,78,2,307.76
13531,204,2,483.8000000000001
13532,33,1,210.30999999999983
13533,182,3,270.79000000000013
13534,1,25,5870.080000000015
13536,0,7,3448.2899999999986
13538,42,7,1280.85
13539,85,3,631.3400000000001
13544,39,2,291.4099999999999
13546,11,3,626.9899999999999
13548,95,2,682.41
13549,25,7,918.1999999999998
13551,318,1,91.80000000000001
13552,65,12,3740.070000000001
13555,73,4,4149.2800000000025
13557,27,2,584.0600000000001
13558,5,4,605.0599999999998
13560,6,1,174.37000000000003
13561,215,1,141.86
13562,81,3,1799.3299999999988
13563,83,2,777.5300000000001
13564,143,3,1749.0200000000004
13565,18,2,240.22000000000006
13566,40,2,874.7099999999997
13568,172,1,192.85000000000005
13569,16,2,373.74999999999994
13570,242,1,239.49000000000004
13571,12,12,2092.32
13572,205,1,1384.25
13573,49,2,294.4
13575,22,5,732.0699999999997
13576,9,18,6717.340000000001
13577,24,4,1687.5999999999988
13579,14,2,467.03999999999996
13581,308,1,117.99999999999999
13583,155,1,781.0300000000002
13584,306,1,142.40000000000003
13587,63,1,712.4
13588,15,9,2478.949999999998
13589,14,2,379.65000000000003
13590,10,6,1981.9199999999994
13591,64,3,1117.1300000000003
13592,35,4,247.95999999999995
13593,107,5,2037.0800000000008
13594,52,1,396.96999999999997
13596,5,2,697.04
13598,46,1,180.1700000000001
13599,0,21,5153.669999999998
13600,311,1,219.51999999999998
13601,44,2,693.3200000000002
13602,64,1,428.88999999999993
13603,25,1,164.34
13606,28,3,280.53999999999996
13607,39,1,678.0099999999996
13610,11,7,1131.8800000000006
13611,88,3,1171.8000000000002
13614,23,4,1610.460000000001
13615,318,1,417.6900000000001
13617,39,3,544.18
13618,173,1,177.34000000000003
13621,116,1,213.85
13623,30,5,747.7800000000003
13626,252,1,257.22999999999996
13627,58,5,1638.4700000000003
13629,22,11,7792.36
13630,4,7,2031.7800000000002
13631,99,11,3070.42
13632,24,5,2121.27
13634,32,5,1575.1600000000003
13635,67,1,1071.0300000000002
13636,36,5,949.1199999999999
13637,51,3,810.4999999999998
13638,15,1,122.64000000000001
13639,73,1,1033.3400000000001
13642,215,1,354.7999999999999
13643,30,3,519.44
13644,15,4,2624.260000000001
13645,119,1,252.1
13647,9,4,1678.1200000000001
13649,256,2,346.6000000000001
13650,16,6,1836.34
13651,34,2,94.2
13652,45,3,1095.08
13654,42,6,2707.329999999999
13655,113,2,932.9700000000004
13656,164,2,379.65000000000003
13657,10,2,382.13999999999993
13658,9,5,2639.1700000000037
13659,205,2,1573.2000000000007
13662,85,3,897.7600000000001
13663,178,1,189.47
13666,59,3,84.65000000000002
13667,148,1,305.0199999999998
13668,2,21,6363.589999999984
13669,50,2,218.55
13670,74,1,349.70000000000016
13672,300,2,186.39
13673,18,2,396.9199999999999
13675,150,2,486.82000000000005
13678,151,1,232.60000000000005
13680,0,4,3722.4200000000014
13681,17,4,827.83
13682,186,1,59.5
13684,285,1,67.23000000000002
13685,2,7,3119.4400000000014
13686,182,1,72.0
13689,62,1,910.0
13690,58,1,172.25
13692,24,3,1488.3200000000004
13694,3,50,65039.620000000024
